SECURITY NAME,% OF PORTFOLIO,Fund_Id
FNMA 30YR,0.01,F-102
FNMA 30YR,0.01,F-102
FNMA 30YR,0.01,F-102
FNMA 30YR,0.05,F-102
FNMA 30YR,0.06,F-102
FNMA 30YR,0.05,F-102
FNMA 30YR,0.02,F-102
FNMA 30YR,0.03,F-102
FNMA 30YR FHA/VA,0.06,F-102
FNMA 30YR FHA/VA,0.08,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.02,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.02,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.02,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.03,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.01,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.04,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.04,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.06,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.02,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.05,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.03,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.08,F-102
FNMA CONV LONG TERM 30YR - JUMBO-C,0.03,F-102
FNMA_03-71 TA,0.02,F-102
FORD MOTOR COMPANY,0.26,F-102
FORTI_23-1 A 144A,0.52,F-102
FOUNDRY JV HOLDCO LLC 144A,0.27,F-102
FREMF16-KF21 B 144A,0.01,F-102
FREMF_17_KF27 B 144A,0.01,F-102
FTAB_21-NPL1 A1 144A,0.24,F-102
FWLS_15-SC02 2A,0.01,F-102
FWLS_16-SC01 2A,0.01,F-102
FWLS_16-SC02 1A,0.02,F-102
FWLS_16-SC02 2A,0.01,F-102
FWLS_17-SC01 1A,0.06,F-102
FWLS_17_SC01 2A,0.02,F-102
FWLS_17_SC02 1A,0.06,F-102
FXFWRD CAD/USD 10-NOV-2023,0.85,F-102
FXFWRD CAD/USD 10-NOV-2023,-0.83,F-102
FXFWRD CAD/USD 10-NOV-2023,-0.01,F-102
FXFWRD CAD/USD 10-NOV-2023,0.01,F-102
FXFWRD CNH/USD 10-NOV-2023,-0.49,F-102
FXFWRD CNH/USD 10-NOV-2023,0.5,F-102
FXFWRD EUR/USD 10-NOV-2023,-1.32,F-102
FXFWRD EUR/USD 10-NOV-2023,1.38,F-102
FXFWRD GBP/USD 10-NOV-2023,0.01,F-102
FXFWRD GBP/USD 10-NOV-2023,1.34,F-102
FXFWRD GBP/USD 10-NOV-2023,-0.01,F-102
FXFWRD GBP/USD 10-NOV-2023,-1.28,F-102
FXFWRD IDR/USD 10-NOV-2023,-0.56,F-102
FXFWRD IDR/USD 10-NOV-2023,0.57,F-102
FXFWRD INR/USD 10-NOV-2023,-0.49,F-102
FXFWRD INR/USD 10-NOV-2023,0.49,F-102
FXFWRD MXN/USD 10-NOV-2023,0.81,F-102
FXFWRD MXN/USD 10-NOV-2023,-0.76,F-102
FXFWRD MXN/USD 10-NOV-2023,-0.81,F-102
FXFWRD MXN/USD 10-NOV-2023,0.77,F-102
FXFWRD NOK/USD 10-NOV-2023,-0.51,F-102
FXFWRD NOK/USD 10-NOV-2023,0.48,F-102
FXFWRD NOK/USD 10-NOV-2023,-0.48,F-102
FXFWRD NOK/USD 10-NOV-2023,0.48,F-102
FXFWRD NZD/USD 10-NOV-2023,-0.49,F-102
FXFWRD NZD/USD 10-NOV-2023,0.48,F-102
FXFWRD NZD/USD 10-NOV-2023,-0.48,F-102
FXFWRD NZD/USD 10-NOV-2023,0.47,F-102
FXFWRD USD/DOP 10-NOV-2023,0.1,F-102
FXFWRD USD/DOP 10-NOV-2023,-0.1,F-102
FXFWRD ZAR/USD 10-NOV-2023,0.5,F-102
FXFWRD ZAR/USD 10-NOV-2023,-0.49,F-102
GARDA WORLD SECURITY CORP 144A,0.17,F-102
GBP CASH(Alpha Committed),0.01,F-102
GCAT_22-NQM3 A1 144A,0.73,F-102
GCI_2020-1 A 144A,0.1,F-102
GCPAF_20-1A A2 144A,0.39,F-102
GCPAF_21-1A A2 144A,0.15,F-102
GENERAL MOTORS CO,0.16,F-102
GENERAL MOTORS FINANCIAL CO INC,0.5,F-102
GLOBAL ATLANTIC FIN CO 144A,0.18,F-102
GLOBAL PARTNERS LP / GLP FINANCE C,0.13,F-102
GNMA 30YR PLATINUM,0.03,F-102
GNMA II 30YR SF - JUMBO-CONFORMING,0.01,F-102
GNMA II 30YR SF - JUMBO-CONFORMING,0.02,F-102
GNMA2 30YR,0.01,F-102
GNMA2 30YR,0.04,F-102
GNMA2 30YR,0.04,F-102
GNMA2 30YR,0.01,F-102
GNMA2 30YR,0.02,F-102
GNMA2 30YR,0.26,F-102
GNMA2 30YR,0.02,F-102
GNMA2 30YR,0.02,F-102
GNMA2 30YR,0.02,F-102
GOODG_20_1A C 144A,0.26,F-102
GOODG_21-1A C 144A,0.38,F-102
GRIFOLS SA RegS,0.11,F-102
GRUPO AVAL LTD 144A,0.08,F-102
GSMS_13-GC14 D 144A,0.08,F-102
GSMS_15-GC34 XA,0.02,F-102
HAMR_21-RPL1 A 144A,0.57,F-102
HCA INC,0.21,F-102
HWAYS_21-1A A 144A,0.59,F-102
HYUNDAI CAPITAL AMERICA 144A,0.4,F-102
HYUNDAI CAPITAL AMERICA MTN 144A,0.3,F-102
ICE: (CDX.NA.HY.41.V1),-0.02,F-102
IDR CASH(Alpha Committed),0.56,F-102
ILLINOIS ST TOLL HWY AUTH TOLL HIG,0.09,F-102
IMPAS_05-3 A RegS,0.05,F-102
IMPERIAL BRANDS FINANCE PLC 144A,0.18,F-102
IMPRL_22-NQM1 A1 144A,0.37,F-102
INTEL CORPORATION,0.17,F-102
IVORY COAST GOVERNMENT INTERNATION 144A,0.21,F-102
JAX_19-LIC E 144A,0.22,F-102
JBS USA LUX SA,0.25,F-102
JEFFERIES FINANCE LLC / JFIN CO-IS 144A,0.23,F-102
JEFFERIES FINANCIAL GROUP INC,0.17,F-102
JERSEY CENTRAL POWER & LIGHT CO 144A,0.2,F-102
JOHNS HOPKINS UNIVERSITY,0.12,F-102
JOLAR_19-1 B 144A,0.03,F-102
JPMBB_14-C19 D 144A,0.13,F-102
JPMCC_16-JP4 XA,0.01,F-102
JPMCC_21-MHC E 144A,0.42,F-102
JPMMT_07-A4 2A3,0.01,F-102
JPMORGAN CHASE & CO,0.57,F-102
LHOME_23-RTL2 A1 144A,0.08,F-102
LMAT_20-GS4 A1 144A,0.32,F-102
LMLOG_21-1A D 144A,0.13,F-102
LMT_07-8 2A1,0.04,F-102
LOWES COMPANIES INC,0.03,F-102
LOWES COMPANIES INC,0.05,F-102
LUNRR_20-1 A 144A,0.05,F-102
MACH1_19 1 A 144A,0.12,F-102
MACQUARIE GROUP LTD MTN 144A,0.18,F-102
MACYS RETAIL HLDGS LLC 144A,0.11,F-102
MAPSL_18-1A A 144A,0.04,F-102
MCAFEE CORP 144A,0.16,F-102
MCLAREN HEALTH CARE CORP,0.17,F-102
MEDLINE BORROWER LP 144A,0.22,F-102
METAL_17-1 A 144A,0.06,F-102
METROPOLITAN LIFE GLOBAL FUNDING I MTN 144A,0.18,F-102
MEXICO GOVERNMENT INTERNATIONAL BO,0.12,F-102
MEXICO GOVERNMENT INTERNATIONAL BO MTN,0.09,F-102
MF1_21-W10 E 144A,0.73,F-102
MFT_23-3A B 144A,0.41,F-102
MISSISSIPPI POWER CO,0.39,F-102
MKT_20-525M F 144A,0.05,F-102
MOFT_20-ABC D 144A,0.08,F-102
MOFT_20-B6 B 144A,0.12,F-102
MSAIC_20-1A A 144A,0.08,F-102
NATIONWIDE BUILDING SOCIETY 144A,0.26,F-102
NBN CO LTD MTN 144A,0.35,F-102
NCMS_18-ALXA E 144A,0.11,F-102
NCMS_19-10K D 144A,0.14,F-102
NCMS_19-10K E 144A,0.18,F-102
NCMS_19-MILE C 144A,0.36,F-102
NEW YORK N Y,0.05,F-102
NEWCASTLE COAL INFRASTRUCTURE GROU 144A,0.41,F-102
NORDEA BANK ABP 144A,0.21,F-102
NORTHERN STATES POWER CO/MN,0.15,F-102
NOVA CHEMICALS CORP 144A,0.22,F-102
NWSB_18-1 A 144A,0.04,F-102
NWSB_23-1 A 144A,0.18,F-102
NYMT_20-SP2 A1 144A,0.4,F-102
NYT_19-NYT C 144A,0.34,F-102
OBXT_20-EXP1 1A8 144A,0.05,F-102
OMSR_22-PLS1 A 144A,0.31,F-102
OMW_20-1MW D 144A,0.22,F-102
ONEOK INC,0.26,F-102
ONONDAGA N Y CIVIC DEV CORP RE,0.32,F-102
OOREDOO INTERNATIONAL FINANCE LTD MTN 144A,0.19,F-102
ORACLE CORPORATION,0.27,F-102
OT_17-OT A 144A,0.44,F-102
OVERSEA-CHINESE BANKING CORP LTD 144A,0.16,F-102
OXFIN_19-1A B 144A,0.02,F-102
PACIFIC GAS AND ELECTRIC COMPANY,0.22,F-102
PELOTON INTERACTIVE INC,0.16,F-102
PEPAU_25 A1U 144A,0.02,F-102
PETROBRAS GLOBAL FINANCE BV,0.24,F-102
PETROLEOS MEXICANOS,0.37,F-102
PHILIPPINES (REPUBLIC OF),0.06,F-102
PNMSR_21-FT1 A 144A,0.68,F-102
PNMSR_22-FT1 A 144A,0.49,F-102
PRET_21-NPL6 A1 144A,0.17,F-102
PROG_21-SFR4 D 144A,0.1,F-102
PRPM_21-8 A1 144A,0.29,F-102
PRPM_21-9 A1 144A,0.32,F-102
PRPM_22-3 A1 144A,0.38,F-102
RAPTOR_19-1 A 144A,0.28,F-102
RCLT_19-2 A 144A,0.05,F-102
REALT_21-1A X 144A,0.16,F-102
REPS_20-A B 144A,0.23,F-102
RESORTS WORLD LAS VEGAS LLC / RWLV 144A,0.21,F-102
ROCKET MORTGAGE LLC / ROCKET MORTG 144A,0.21,F-102
ROCKIES EXPRESS PIPELINE LLC 144A,0.16,F-102
ROGERS COMMUNICATIONS INC,0.33,F-102
S&P GLOBAL INC. 144A,0.32,F-102
SCRT_16-1 MT,0.14,F-102
SCRT_17-2 M2 144A,0.16,F-102
SCRT_17-3 M2 144A,0.17,F-102
SCRT_17-4 M 144A,0.06,F-102
SCRT_18-1 MT,0.16,F-102
SCRT_18-2 HT,0.14,F-102
SCRT_18-3 HT,0.1,F-102
SCRT_18-4 HT,0.14,F-102
SCRT_19-2 HT,0.06,F-102
SCRT_19-2 M55D,0.05,F-102
SCRT_19-3 M,0.21,F-102
SCRT_19-3 HT,0.03,F-102
SCRT_19-3 M55D,0.03,F-102
SCRT_19-4 M55D,0.11,F-102
SCRT_20-1 M 144A,0.42,F-102
SCRT_20-3 M 144A,0.48,F-102
SCRT_21-2 M 144A,0.12,F-102
SEATTLE CHILDREN S HOSPITAL,0.3,F-102
SGCMS_20-COVE E 144A,0.3,F-102
SGSHR_21-1A C 144A,0.75,F-102
SILGAN HOLDINGS INC 144A,0.34,F-102
SIRIUS XM RADIO INC 144A,0.11,F-102
SLG_21-OVA X 144A,0.09,F-102
SOCIETE GENERALE SA MTN 144A,0.28,F-102
SOUTH AFRICA (REPUBLIC OF),0.19,F-102
SOUTH AFRICA (REPUBLIC OF),0.27,F-102
SPLUNK INC,0.18,F-102
SPOTIFY USA INC,0.18,F-102
STANDARD INDUSTRIES INC/NJ 144A,0.1,F-102
STARR_18-1 A 144A,0.37,F-102
STARR_19 1A 144A,0.04,F-102
STWH_21-NPB1 A1 144A,0.32,F-102
SUNBD_20-1A A 144A,0.13,F-102
SYNGENTA FINANCE NV 144A,0.17,F-102
TCO_22-DPM A 144A,0.69,F-102
TDA_27 A3 RegS,0.18,F-102
TLWND_19-1 C 144A,0.15,F-102
TORONTO-DOMINION BANK/THE,0.29,F-102
TREASURY BILL,4.08,F-102
TREASURY BILL,0.46,F-102
TREASURY NOTE,4.1,F-102
TREASURY NOTE,5.05,F-102
TREASURY NOTE,3.72,F-102
TRUIST FINANCIAL CORP MTN,0.35,F-102
UBS GROUP AG 144A,0.28,F-102
UMBS 30YR TBA(REG A),1.18,F-102
UMBS 30YR TBA(REG A),3.81,F-102
UMBS 30YR TBA(REG A),0.96,F-102
UMBS 30YR TBA(REG A),4.72,F-102
UMBS 30YR TBA(REG A),0.98,F-102
UMBS 30YR TBA(REG A),4.1,F-102
UMBS 30YR TBA(REG A),1.53,F-102
UNITED OVERSEAS BANK LTD MTN 144A,0.5,F-102
UNIVERSITY OF MICHIGAN,0.23,F-102
URUGUAY (ORIENTAL REPUBLIC OF),0.43,F-102
US BANCORP,0.21,F-102
US BANCORP,0.03,F-102
USD CASH(Alpha Committed),-7.23,F-102
VAR ENERGI ASA 144A,0.19,F-102
VDCR_23-1A A2A 144A,0.33,F-102
VERIZON COMMUNICATIONS INC,0.56,F-102
VICI PROPERTIES LP / VICI NOTE CO 144A,0.18,F-102
VIRGINIA ELECTRIC AND POWER COMPAN,0.25,F-102
VISCI_22-1A D 144A,0.35,F-102
VMC_21-HT1 A 144A,0.42,F-102
VOLT_21-CF2 A1 144A,0.25,F-102
VOLT_21-NPL2 A1 144A,0.26,F-102
VOLT_21-NPL3 A1 144A,0.32,F-102
VONTIER CORP,0.41,F-102
WARNERMEDIA HOLDINGS INC,0.18,F-102
WARNERMEDIA HOLDINGS INC,0.13,F-102
WFRBS_13-C13 D 144A,0.07,F-102
WILLIAMS COMPANIES INC,0.25,F-102
ZAR CASH(Alpha Committed),0.01,F-102
null,null,F-102
null,null,F-102
null,null,F-102
null,null,F-102
"Please consider the investment objective, risks, charges and expenses of the fund carefully before investing. The prospectus contains this and other information about the fund. To obtain a prospectus, download one at morganstanley.com/im. Please read the prospectus carefully before investing.",null,F-102
Morgan Stanley Investment Management (MSIM) is the asset management division of Morgan Stanley.,null,F-102
null,null,F-102
null,null,F-102
NOT FDIC INSURED | OFFER NO BANK GUARANTEE | MAY LOSE VALUE | NOT INSURED BY ANY FEDERAL GOVERNMENT AGENCY | NOT A DEPOSIT,null,F-102
null,null,F-102
©2023 Morgan Stanley.,null,F-102
ABBVIE INC:4.050 21NOV2039,0.18,F-103
ADVENTIST HEALTH SYSTEM WEST:5.430 01MAR2032,0.6,F-103
AEP TRANSMISSION COMPANY LLC:5.400 15MAR2053,0.39,F-103
AIB GROUP PLC:6.608 13SEP2029,0.35,F-103
ALASKA AIR PASS THROUGH TRUST 2020-1A:4.800 15AUG2027,0.33,F-103
ALIBABA GROUP HOLDING LTD:2.700 09FEB2041,0.13,F-103
ALLY FINANCIAL INC:4.625 30MAR2025,0.49,F-103
AMAZONCOM INC:3.100 12MAY2051,0.25,F-103
AMERICAN INTERNATIONAL GROUP INC:5.125 27MAR2033,0.05,F-103
AMERICAN NATIONAL GROUP INC:6.144 13JUN2032,0.44,F-103
AMGEN INC:5.750 02MAR2063,0.16,F-103
ANHEUSER-BUSCH COMPANIES LLC:4.900 01FEB2046,0.5,F-103
ANZ GROUP HOLDINGS LTD:2.570 25NOV2035,0.2,F-103
AP MOLLER-MAERSK A/S:5.875 14SEP2033,0.19,F-103
APPLE INC:2.950 11SEP2049,0.25,F-103
ARCHES BUYER INC:4.250 01JUN2028,0.25,F-103
ASHTEAD CAPITAL INC:5.950 15OCT2033,0.59,F-103
ASSURANT INC:6.100 27FEB2026,0.26,F-103
AT&T INC:3.650 01JUN2051,0.76,F-103
AT&T INC:4.500 15MAY2035,0.55,F-103
AVIATION CAPITAL:6.250 15APR2028,0.33,F-103
AVIATION CAPITAL:6.375 15JUL2030,0.43,F-103
BAIDU INC:1.720 09APR2026,0.36,F-103
BANCO SANTANDER SA:1.722 14SEP2027,0.77,F-103
BANCO SANTANDER SA:6.921 08AUG2033,0.34,F-103
BANK HAPOALIM LTD:3.255 21JAN2032,0.55,F-103
BANK OF AMERICA CORP:3.846 08MAR2037,0.27,F-103
BANK OF AMERICA CORP:4.571 27APR2033,2.32,F-103
BANK OF IRELAND GROUP PLC:2.029 30SEP2027,0.74,F-103
BANK OF NEW YORK MELLON CORP/THE:4.967 26APR2034,0.67,F-103
BANQUE FEDERATIVE DU CREDIT MUTUEL/ FRAN:5.790 13JUL2028,0.75,F-103
BAT CAPITAL CORP:2.259 25MAR2028,0.43,F-103
BAT CAPITAL CORP:3.734 25SEP2040,0.15,F-103
BAT CAPITAL CORP:6.421 02AUG2033,0.28,F-103
BB&T CORP:5.867 08JUN2034,0.79,F-103
BBVA BANCOMER SA INSTITUCION DE:8.450 29JUN2038,0.17,F-103
BCO CREDITO INVS:2.875 14OCT2031,0.14,F-103
BERRY PLASTICS CORP:5.500 15APR2028,0.21,F-103
BOEING CO:2.950 01FEB2030,0.5,F-103
BOEING CO:3.250 01FEB2035,0.41,F-103
BP CAPITAL MARKETS AMERICA INC.:4.893 11SEP2033,0.25,F-103
BP CAPITAL MARKETS PLC:4.875 31DEC2079,0.44,F-103
BPCE SA:3.116 19OCT2032,0.25,F-103
BPCE SA:3.648 14JAN2037,0.34,F-103
BROADCOM INC:3.187 15NOV2036,0.27,F-103
BRUNSWICK CORPORATION:5.100 01APR2052,0.26,F-103
BUILDING MATERIALS CORP OF AMERICA:2.250 21NOV2026,0.08,F-103
CAIXABANK SA:6.208 18JAN2029,0.93,F-103
CALPINE CORP:5.125 15MAR2028,0.24,F-103
CAPITAL ONE FINANCIAL CORP:6.377 08JUN2034,0.54,F-103
"CB RICHARD ELLIS SERV, INC.:5.950 15AUG2034",0.56,F-103
CEDARS-SINAI HEALTH SYSTEM:2.288 15AUG2031,0.43,F-103
CELANESE US HOLDINGS LLC:6.350 15NOV2028,0.5,F-103
CELANESE US HOLDINGS LLC:6.700 15NOV2033,0.32,F-103
CENTENE CORP:2.500 01MAR2031,0.7,F-103
CHARLES SCHWAB CORP:6.136 24AUG2034,0.43,F-103
CHARTER COMMUNICATIONS OPERATING:3.500 01MAR2042,0.12,F-103
CHARTER COMMUNICATIONS OPERATING:5.125 01JUL2049,0.32,F-103
CHARTER COMMUNICATIONS OPERATING:6.384 23OCT2035,0.14,F-103
CI FINANCIAL CORP:4.100 15JUN2051,0.49,F-103
CITIGROUP INC:3.057 25JAN2033,0.82,F-103
CITIGROUP INC:3.785 17MAR2033,0.35,F-103
CLEVELAND ELECTRIC ILLUMINATING:4.550 15NOV2030,0.2,F-103
COLGATE ENERGY PARTNERS III LLC:5.875 01JUL2029,0.25,F-103
COLUMBIA PIPELINES HOLDING COMPANY LLC:6.042 15AUG2028,0.22,F-103
COLUMBIA PIPELINES HOLDING COMPANY LLC:6.055 15AUG2026,0.04,F-103
COMCAST CORP:2.887 01NOV2051,0.04,F-103
COMCAST CORP:2.937 01NOV2056,0.13,F-103
COMCAST CORP:3.750 01APR2040,0.39,F-103
COMMONSPIRIT HEALTH:6.073 01NOV2027,0.51,F-103
CONCENTRIX CORP:6.650 02AUG2026,0.44,F-103
CONTINENTAL AIRLINES INC:5.800 15JAN2036,0.52,F-103
"CONTINENTAL RESOURCES, INC.:2.875 01APR2032",0.73,F-103
CORP OFFICE:2.750 15APR2031,0.57,F-103
CREDIT SUISSE MORTGAGE TRUST CSMC_22-NWP:A 8.4752 09SEP2024,0.98,F-103
CVS CAREMARK CORP:1.875 28FEB2031,0.24,F-103
CVS CAREMARK CORP:5.050 25MAR2048,0.28,F-103
Cash,3.29,F-103
DAIMLER FINANCE NORTH AMERICA LLC:5.100 03AUG2028,1.11,F-103
DETROIT EDISON COMPANY (THE):3.950 01MAR2049,0.3,F-103
DEUTSCHE BANK AG (NEW YORK BRANC:7.146 13JUL2027,0.4,F-103
DIAMONDBACK ENERGY INC:6.250 15MAR2033,0.4,F-103
DICKS SPORTING GOODS INC.:4.100 15JAN2052,0.32,F-103
DOMINION RESOURCES INC/VA:5.375 15NOV2032,0.34,F-103
DOWDUPONT INC:5.319 15NOV2038,0.19,F-103
DUKE ENERGY CORP:5.000 15AUG2052,0.26,F-103
DUKE ENERGY INDIANA INC:2.750 01APR2050,0.17,F-103
EDF SA:6.250 23MAY2033,0.31,F-103
EDP FINANCE BV:6.300 11OCT2027,0.63,F-103
ELAN FINANCE:4.650 15JUN2030,0.4,F-103
ENBRIDGE INC:2.500 01AUG2033,0.15,F-103
ENBRIDGE INC:5.700 08MAR2033,0.53,F-103
ENEL FINANCE AMERICA LLC:2.875 12JUL2041,0.26,F-103
ENTERGY TX:3.550 30SEP2049,0.12,F-103
ENTERPRISE PROD OPER LLC:3.300 15FEB2053,0.26,F-103
ENTERPRISE PROD OPER LLC:3.700 31JAN2051,0.06,F-103
ENTERPRISE PROD OPER LLC:5.350 31JAN2033,0.15,F-103
EQT CORP:5.700 01APR2028,0.5,F-103
EURO-BOBL FUTURE DEC23 XEUR 20231207,0,F-103
EXELON GENERATION CO LLC:6.500 01OCT2053,0.24,F-103
EXTRA SPSTRG:3.900 01APR2029,0.6,F-103
EXTRA SPSTRG:5.700 01APR2028,0.28,F-103
F&G ANNUITIES & LIFE INC:7.400 13JAN2028,0.88,F-103
FACEBOOK INC:5.750 15MAY2063,0.29,F-103
FELLS POINT FUNDING TRUST:3.046 31JAN2027,0.48,F-103
FERRELLGAS ESCROW LLC:5.875 01APR2029,0.26,F-103
FIFTH THIRD BANCORP:6.339 27JUL2029,0.72,F-103
FIRST-CTZN BK&TR:2.969 27SEP2025,0.65,F-103
FORD MOTOR CREDIT COMPANY LLC:4.389 08JAN2026,0.26,F-103
FORTUNE BRANDS HOME & SECURITY:5.875 01JUN2033,0.53,F-103
FOUNDRY JV HOLDCO LLC:5.875 25JAN2034,0.36,F-103
GENERAL MOTORS CO:6.600 01APR2036,0.28,F-103
GENERAL MOTORS CO:6.750 01APR2046,0.1,F-103
GENERAL MOTORS FINANCIAL CO INC:5.800 23JUN2028,1.02,F-103
GEORGIA POWER COMPANY:3.250 15MAR2051,0.18,F-103
GEORGIA POWER COMPANY:4.950 17MAY2033,0.46,F-103
GILEAD SCIENCES INC:5.550 15OCT2053,0.11,F-103
GLENCORE FUNDING LLC:2.500 01SEP2030,0.42,F-103
GLOBAL ATLANTIC (FIN) CO:4.400 15OCT2029,0.81,F-103
GLOBAL PAYMENTS INC.:2.900 15MAY2030,0.47,F-103
GRUPO AVAL LTD:4.375 04FEB2030,0.25,F-103
GS CONNECT S&P GSCI ENHANCED COMMODITY T:2.615 22APR2032,0.97,F-103
HCA-THE HEALTHCARE CO:3.500 15JUL2051,0.36,F-103
HIGH STREET FUNDING TRUST I:4.111 15FEB2028,0.69,F-103
HSBC HOLDINGS PLC:4.041 13MAR2028,0.25,F-103
HSBC HOLDINGS PLC:6.161 09MAR2029,0.5,F-103
HUDBAY MINERALS INC:4.500 01APR2026,0.25,F-103
HYUNDAI CAPITAL AMERICA INC:3.000 10FEB2027,0.38,F-103
IMPERIAL BRANDS FINANCE PLC:6.125 27JUL2027,0.35,F-103
INTACT FINANCIAL CORP:5.459 22SEP2032,0.69,F-103
INTEL CORP:3.250 15NOV2049,0.17,F-103
INTEL CORP:5.700 10FEB2053,0.29,F-103
INTERNATIONAL BUSINESS MACHINES CORP:2.850 15MAY2040,0.16,F-103
INTERSTATE POWER & LIGHT CO:2.300 01JUN2030,0.21,F-103
INTESA SANPAOLO SPA:7.000 21NOV2025,0.76,F-103
JABIL CIRCUIT INC:3.000 15JAN2031,0.68,F-103
JBS USA LUX SA:2.500 15JAN2027,0.43,F-103
JDE PEETS NV:1.375 15JAN2027,0.67,F-103
JERSEY CTL PWR & LT CO:2.750 01MAR2032,0.26,F-103
JETBLUE AIRWAYS 2019-1 PASS THROUGH TRUS:2.750 15MAY2032,0.31,F-103
JP MORGAN CHASE COMMERCIAL MORTGAGE SECU:A 7.5112 15SEP2039,1.16,F-103
JPMORGAN CHASE & CO:5.350 01JUN2034,1.93,F-103
KEYBANK NA:4.150 08AUG2025,0.58,F-103
KEYBANK NA:5.850 15NOV2027,0.29,F-103
KYNDRYL HOLDINGS INC:2.700 15OCT2028,0.29,F-103
KYNDRYL HOLDINGS INC:3.150 15OCT2031,0.39,F-103
LEUCADIA NTL CORP:2.625 15OCT2031,0.3,F-103
LEUCADIA NTL CORP:5.875 21JUL2028,0.28,F-103
"LITHIA MOTORS, INC.:3.875 01JUN2029",0.24,F-103
LOWE'S COS INC:5.800 15SEP2062,0.24,F-103
LOWE'S COS INC:5.850 01APR2063,0.12,F-103
MACQUARIE GROUP LTD:2.871 14JAN2033,0.39,F-103
MAGALLANES INC:5.050 15MAR2042,0.02,F-103
MAGALLANES INC:5.391 15MAR2062,0.44,F-103
MARVELL TECHNOLOGY INC:5.950 15SEP2033,0.3,F-103
MCCORMICK & COMPANY INCORPORATED:4.950 15APR2033,0.49,F-103
MCGRAW-HILL COMPANIES (THE):5.250 15SEP2033,0.56,F-103
METROPOLITAN EDISON CO:5.200 01APR2028,0.28,F-103
MIDWEST CONNECTOR CAPITAL COMPANY:4.625 01APR2029,0.49,F-103
NATIONAL AUSTRALIA BANK LIMITED:2.332 21AUG2030,0.25,F-103
NATIONAL FUEL GAS CO:2.950 01MAR2031,0.72,F-103
NEW ENGLAND POWER CO:5.936 25NOV2052,0.17,F-103
NEWCASTLE COAL:4.400 29SEP2027,0.9,F-103
NEWELL RUBBERMAID INC.:4.700 01APR2026,0.58,F-103
NEXTERA ENERGY CAPITAL HOLDINGS INC:3.000 15JAN2052,0.25,F-103
NEXTERA ENERGY CAPITAL HOLDINGS INC:5.050 28FEB2033,0.33,F-103
NISSAN MOTOR ACCEPTANCE COMPANY LLC:1.850 16SEP2026,0.5,F-103
NISSAN MOTOR ACCEPTANCE COMPANY LLC:6.950 15SEP2026,0.58,F-103
NORTHERN STATES POWER COMPANY (MINNESOTA:2.900 01MAR2050,0.19,F-103
NOVA CHEMICALS CORP:4.875 01JUN2024,0.26,F-103
NXP:2.650 15FEB2032,0.45,F-103
Net Other Assets,1.97,F-103
OCCIDENTAL PETROLEUM CORPORATION:7.500 01MAY2031,0.56,F-103
OCCIDENTAL PETROLEUM CORPORATION:8.500 15JUL2027,0.45,F-103
ONEOK INC:3.100 15MAR2030,0.48,F-103
ONEOK INC:3.400 01SEP2029,0.21,F-103
ONEOK INC:6.050 01SEP2033,0.02,F-103
ORACLE CORP:3.600 01APR2050,0.66,F-103
ORACLE CORP:3.850 15JUL2036,0.16,F-103
PACIFIC GAS & ELECTRIC CO:3.300 01AUG2040,0.21,F-103
PACIFIC GAS & ELECTRIC CO:4.950 01JUL2050,0.23,F-103
PACIFICORP:4.150 15FEB2050,0.51,F-103
PECO ENERGY CO:3.050 15MAR2051,0.23,F-103
PELOTON INTERACTIVE INC:0.000 15FEB2026,0.28,F-103
PENNSYLVANIA ELECTRIC COMPANY:5.150 30MAR2026,0.26,F-103
PENSKE TRUCK LEASING CO LP:6.200 15JUN2030,0.52,F-103
PETROLEOS MEXICANOS:10.000 07FEB2033,0.24,F-103
PFIZER INVESTMENT ENTERPRISES PTE LTD:5.300 19MAY2053,0.39,F-103
PHILIP MORRIS INTERNATIONAL INC:5.625 07SEP2033,0.47,F-103
PUBLIC SERVICE COMPANY OF COLORADO:5.250 01APR2053,0.08,F-103
PUBLIC SERVICE ENTERPRISE GROUP INCORPOR:2.450 15NOV2031,0.24,F-103
QUICKEN LOANS INC:3.875 01MAR2031,0.39,F-103
RADIAN GRP INC:4.875 15MAR2027,0.43,F-103
RESORTS WORLD LAS VEGAS LLC:4.625 16APR2029,0.21,F-103
ROGERS COMMUNICATIONS INC (BRITISH COLUM:4.550 15MAR2052,0.52,F-103
SABINE PASS LIQUEFACTION LLC:4.500 15MAY2030,0.47,F-103
SHINHAN BANK:4.000 23APR2029,0.69,F-103
SIGMA ALIMENTOS:4.125 02MAY2026,0.38,F-103
SILGAN HOLDINGS INC:1.400 01APR2026,0.39,F-103
